epoch,learning_rate,step,train_crossentropy_loss,train_dice_loss,train_loss,val_crossentropy_loss,val_dice_loss,val_loss
33,9.999999747378752e-06,2107,1.4843350648880005,0.5059690475463867,1.9903043508529663,,,
34,,2169,,,,1.8111238479614258,0.44753193855285645,2.258655548095703
34,9.999999747378752e-06,2169,1.5432960987091064,0.5043174028396606,2.0476136207580566,,,
35,,2231,,,,1.731466293334961,0.43394824862480164,2.1654131412506104
35,9.999999974752427e-07,2231,1.5338178873062134,0.5017831921577454,2.0356009006500244,,,
36,,2293,,,,1.7525209188461304,0.43859797716140747,2.1911184787750244
36,9.999999974752427e-07,2293,1.5738714933395386,0.51432204246521,2.088193655014038,,,
37,,2355,,,,1.7860280275344849,0.43965595960617065,2.22568416595459
37,9.999999974752427e-07,2355,1.5452659130096436,0.509681761264801,2.054947853088379,,,
38,,2417,,,,1.761960506439209,0.4342990517616272,2.1962592601776123
38,9.999999974752427e-07,2417,1.560968279838562,0.5027157664299011,2.0636847019195557,,,
39,,2479,,,,1.699817419052124,0.4368427097797394,2.1366617679595947
