epoch,learning_rate,step,train_crossentropy_loss,train_dice_loss,train_loss,val_crossentropy_loss,val_dice_loss,val_loss
17,,449,,,,3.906947135925293,0.7261922359466553,4.633137226104736
17,9.999999747378752e-05,449,2.220505714416504,0.632458508014679,2.852964401245117,,,
18,,474,,,,3.051159381866455,0.6511527299880981,3.702314853668213
18,9.999999747378752e-05,474,2.255868911743164,0.6730035543441772,2.928872585296631,,,
19,,499,,,,3.7195303440093994,0.6794493794441223,4.398980140686035
19,9.999999747378752e-05,499,2.09529972076416,0.6242426037788391,2.7195420265197754,,,
20,,524,,,,2.8764328956604004,0.6573752760887146,3.533808708190918
20,9.999999747378752e-05,524,2.095665693283081,0.6124078035354614,2.708073377609253,,,
21,,549,,,,3.035869836807251,0.6681334972381592,3.704002857208252
21,9.999999747378752e-05,549,2.15565824508667,0.626255214214325,2.781913995742798,,,
22,,574,,,,2.3204667568206787,0.572442352771759,2.892909526824951
22,9.999999747378752e-05,574,1.9820568561553955,0.6094825863838196,2.591538906097412,,,
23,,599,,,,2.517037868499756,0.6312755346298218,3.1483113765716553
23,9.999999747378752e-05,599,2.1274945735931396,0.6429246664047241,2.7704193592071533,,,
24,,624,,,,2.24204683303833,0.5681592226028442,2.810206174850464
24,9.999999747378752e-05,624,1.9804655313491821,0.6272890567779541,2.6077542304992676,,,
25,,649,,,,2.9390320777893066,0.6584348082542419,3.5974667072296143
25,9.999999747378752e-05,649,1.9095046520233154,0.5953789353370667,2.5048840045928955,,,
26,,674,,,,3.0488836765289307,0.6524830460548401,3.7013683319091797
26,9.999999747378752e-05,674,2.0881001949310303,0.6239194273948669,2.712019443511963,,,
27,,699,,,,2.6544814109802246,0.6308088898658752,3.285292148590088
27,9.999999747378752e-05,699,1.9592899084091187,0.6251471638679504,2.5844368934631348,,,
28,,724,,,,3.7791900634765625,0.7226203680038452,4.501809597015381
28,9.999999747378752e-05,724,1.9868497848510742,0.6100960969924927,2.5969457626342773,,,
29,,749,,,,2.727799654006958,0.6499959230422974,3.3777964115142822
29,9.999999747378752e-05,749,1.965266227722168,0.5734450817108154,2.5387113094329834,,,
30,,774,,,,2.5792765617370605,0.6262809634208679,3.205557346343994
30,9.999999747378752e-05,774,1.8056750297546387,0.5962986946105957,2.4019734859466553,,,
31,,799,,,,2.811553478240967,0.6545850038528442,3.4661407470703125
31,9.999999747378752e-05,799,1.8994970321655273,0.572060763835907,2.471557855606079,,,
32,,824,,,,2.9074649810791016,0.6644706130027771,3.571937322616577
32,9.999999747378752e-05,824,1.84175443649292,0.6035764813423157,2.445330858230591,,,
33,,849,,,,3.13193678855896,0.6805737018585205,3.812511920928955
33,9.999999747378752e-05,849,1.9025981426239014,0.5756492018699646,2.4782474040985107,,,
34,,874,,,,2.135387420654297,0.5249480605125427,2.6603336334228516
34,9.999999747378752e-06,874,1.949843406677246,0.5974046587944031,2.547248601913452,,,
35,,899,,,,2.031179666519165,0.5078606009483337,2.539041042327881
35,9.999999747378752e-06,899,1.9071264266967773,0.5738785266876221,2.4810049533843994,,,
36,,924,,,,1.8498321771621704,0.4841081500053406,2.333940267562866
36,9.999999747378752e-06,924,1.767067551612854,0.577878475189209,2.3449459075927734,,,
37,,949,,,,1.897733211517334,0.4902350902557373,2.3879690170288086
37,9.999999747378752e-06,949,1.8112353086471558,0.5772187113761902,2.388453722000122,,,
38,,974,,,,1.841834306716919,0.4830024242401123,2.3248379230499268
38,9.999999747378752e-06,974,1.7633758783340454,0.5809895992279053,2.3443655967712402,,,
39,,999,,,,1.8342247009277344,0.48448672890663147,2.318711996078491
39,9.999999747378752e-06,999,1.608838677406311,0.5552421808242798,2.164080858230591,,,
40,,1024,,,,1.9256335496902466,0.49459975957870483,2.4202311038970947
